gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,tx_ids
ENSG00000213923,4625.422084095689,0.7669199541001648,0.04557933543765393,9.186769329297749e-64,4.733256939381873e-63,CSNK1E,
ENSG00000213927,32.59971576117644,1.866399448287165,0.1030688793396594,8.284810945317352e-75,4.883282014216896e-74,CCL27,
ENSG00000213928,2859.1078618083775,0.7209826032232872,0.06831627891725937,2.633036561020372e-26,7.161733331366891e-26,IRF9,
ENSG00000213930,763.0047380021525,-1.1002156570625157,0.03878124153782631,9.868614321454009e-178,1.744479177523952e-176,GALT,
ENSG00000213949,21910.443608555935,0.7900037161010384,0.05209835763088412,2.900418386403562e-52,1.2555122181449626e-51,ITGA1,
ENSG00000213965,681.4677180795069,0.5054192937787446,0.03269498551883058,5.539116974147074e-54,2.4646629200342953e-53,NUDT19,
ENSG00000213967,66.05797738195551,-0.44113731774290005,0.0590008456197914,6.5233766886458e-14,1.2971091058766986e-13,ZNF726,
ENSG00000213973,15.43936330005799,-0.3373913215865827,0.10721102545974329,0.001462399129302846,0.0019556050465590787,ZNF99,
ENSG00000213976,42.2997436568541,-0.3398316439056728,0.07911382164909429,1.5198933015158349e-5,2.2391164227925214e-5,AC010615.1,
ENSG00000213977,1086.4404411046505,-0.11275872601660139,0.053243094315237494,0.0337566819790902,0.04087874349753613,TAX1BP3,
ENSG00000213983,2028.3213228033026,-0.7322172357431976,0.04577793422663998,7.843973051045681e-58,3.705242482027609e-57,AP1G2,
ENSG00000213988,201.67991377387733,-0.07141772281740016,0.035867223498203246,0.04614677713501198,0.055198738421369,ZNF90,
ENSG00000213995,1666.5152912502083,-0.12421629050463424,0.021610108957510876,8.900435916051951e-9,1.5032876797703882e-8,NAXD,
ENSG00000213996,20.889695969589333,0.13130563356533664,0.1296061708622496,0.30486625114066673,0.3350081342279855,TM6SF2,
ENSG00000213997,11.950405346093564,2.2906848533345303,0.13429435035358872,2.4706251123232033e-66,1.3119871286130115e-65,PGAM1P7,
ENSG00000213999,35.84233483330678,0.009674423626257601,0.09222304422643096,0.9163761801030934,0.9248757536702813,MEF2B,
ENSG00000214013,1465.5551721900174,-0.563261119863865,0.026985850488800943,6.71458083678989e-97,5.2935949226093656e-96,GANC,
ENSG00000214018,43.41942290108717,3.436338994803129,0.11390274964690687,1.1399265792299489e-203,2.4689804288160466e-202,RRM2P3,
ENSG00000214019,74.62735076296927,5.815205248881106,0.12534742581336691,0,0,AL034370.1,
ENSG00000214021,1948.9729842275372,-0.8267420553655689,0.05221975061011571,1.0265424177840293e-56,4.76727033375195e-56,TTLL3,
ENSG00000214022,1488.4820928184297,0.2775362775816993,0.04221180080455047,4.569946675650718e-11,8.345399556820908e-11,REPIN1,
ENSG00000214026,389.4357199268216,-0.4353357958502032,0.06992113499697393,4.1205897579798306e-10,7.285401545243187e-10,MRPL23,
ENSG00000214029,721.562908769864,-0.6801429136675042,0.03867491101486553,1.6354818938939028e-69,9.008783563455594e-69,ZNF891,
ENSG00000214046,3996.942489078167,-0.5365118136371025,0.020312384167967143,6.958509494973948e-154,1.005167206221515e-152,SMIM7,
ENSG00000214050,74.11669962269775,0.26690062510307144,0.0862678443051692,0.001847511407518186,0.0024534476247749545,FBXO16,
ENSG00000214063,1491.0612867565785,-1.9181218268165705,0.06995024582592657,1.4691800859784843e-166,2.3501708206338924e-165,TSPAN4,
ENSG00000214076,1.8225918930593157,-4.18401428050265,0.4570157419802565,5.0998662895002046e-26,1.3784347778557253e-25,CPSF1P1,
ENSG00000214078,5415.313969004926,-0.23044784380082636,0.04018621572592567,9.32908819056509e-9,1.5742240746489815e-8,CPNE1,
ENSG00000214081,3.4629802095067195,4.008103570911118,0.46011291845652025,3.69229312127383e-21,8.941411327263864e-21,CYP4F30P,
ENSG00000214087,458.6428661561718,-0.670430621353709,0.03575039904944036,1.1647356207860832e-78,7.273393711657974e-78,ARL16,
ENSG00000214110,100.69167052031945,0.7931891375356946,0.23682314835500332,4.81278103831897e-4,6.605578325402743e-4,LDHAP4,
ENSG00000214113,1665.6561015187972,0.8787753837893021,0.04126218865784833,5.847345933862399e-101,4.829907741370341e-100,LYRM4,
ENSG00000214114,551.5547143784206,0.6830666750426407,0.056862309505112625,2.1002262545888975e-33,6.59500803497312e-33,MYCBP,
