TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.40.47.10	-	0.26031910379087	-1.34584707823833	10	1	0.00395256916996047	253	8522	3158	HMGCS2
3.40.1110.10	-	0.278810592592969	-1.27722260729897	35	2	0.00790513833992095	253	8522	10396,79895	ATP8A1,ATP8B4
2.60.40.1730	-	0.303638837731893	-1.19191631762415	12	1	0.00395256916996047	253	8522	206338	LVRN
3.40.50.1000	-	0.320258900895199	-1.13862554500777	67	3	0.0118577075098814	253	8522	162466,79895,10396	PHOSPHO1,ATP8B4,ATP8A1
1.10.220.10	-	0.324341466873954	-1.12595840805837	13	1	0.00395256916996047	253	8522	8416	ANXA9
2.10.50.30	-	0.324341466873954	-1.12595840805837	13	1	0.00395256916996047	253	8522	80835	TAS1R1
1.10.540.10	-	0.324341466873954	-1.12595840805837	13	1	0.00395256916996047	253	8522	33	ACADL
2.30.29.30	-	0.336348034544274	-1.08960883801125	411	14	0.0553359683794466	253	8522	23371,9758,57449,202151,285489,113026,55740,84033,2036,4648,57569,2549,58473,196996	TNS2,FRMPD4,PLEKHG5,RANBP3L,DOK7,PLCD3,ENAH,OBSCN,EPB41L1,MYO7B,ARHGAP20,GAB1,PLEKHB1,GRAMD2A
3.60.40.10	-	0.344430973142306	-1.06586157684196	14	1	0.00395256916996047	253	8522	151742	PPM1L
2.60.120.10	-	0.355765931597091	-1.03348225988886	42	2	0.00790513833992095	253	8522	375775,5593	PNPLA7,PRKG2
3.10.130.10	-	0.363925444680885	-1.01080625462961	15	1	0.00395256916996047	253	8522	6035	RNASE1
4.10.75.10	-	0.363925444680885	-1.01080625462961	15	1	0.00395256916996047	253	8522	58189	WFDC1
1.20.58.2220	-	0.363925444680885	-1.01080625462961	15	1	0.00395256916996047	253	8522	23500	DAAM2
2.120.10.80	-	0.369306687361841	-0.996127849077875	73	3	0.0118577075098814	253	8522	26033,127707,126823	ATRNL1,KLHDC7A,KLHDC9
2.60.40.1400	-	0.382842438038658	-0.96013176337814	16	1	0.00395256916996047	253	8522	3764	KCNJ8
4.10.260.10	-	0.382842438038658	-0.96013176337814	16	1	0.00395256916996047	253	8522	2788	GNG7
2.40.20.10	-	0.382842438038658	-0.96013176337814	16	1	0.00395256916996047	253	8522	2147	F2
3.30.420.10	-	0.387919753106075	-0.94695678264102	45	2	0.00790513833992095	253	8522	11219,80004	TREX2,ESRP2
3.90.550.10	-	0.393628101625483	-0.932348719946434	76	3	0.0118577075098814	253	8522	83468,8908,2134	GLT8D2,GYG2,EXTL1
3.20.20.100	-	0.401198993792089	-0.913297730893291	17	1	0.00395256916996047	253	8522	7881	KCNAB1
4.10.800.10	-	0.401198993792089	-0.913297730893291	17	1	0.00395256916996047	253	8522	50859	SPOCK3
3.40.850.10	-	0.40971099804323	-0.892303250651874	78	3	0.0118577075098814	253	8522	113220,4648,3798	KIF12,MYO7B,KIF5A
3.30.70.1230	-	0.419011651582119	-0.869856551374755	18	1	0.00395256916996047	253	8522	107	ADCY1
3.30.70.960	-	0.419011651582119	-0.869856551374755	18	1	0.00395256916996047	253	8522	6768	ST14
3.40.50.1240	-	0.419011651582119	-0.869856551374755	18	1	0.00395256916996047	253	8522	5224	PGAM2
1.50.10.10	-	0.436296464871327	-0.829433301403558	19	1	0.00395256916996047	253	8522	57134	MAN1C1
3.40.50.80	-	0.436296464871327	-0.829433301403558	19	1	0.00395256916996047	253	8522	50507	NOX4
3.30.1520.10	-	0.449946928375693	-0.798625640115785	51	2	0.00790513833992095	253	8522	79856,115703	SNX22,ARHGAP33
1.20.1440.80	-	0.453069015075266	-0.791710813943834	20	1	0.00395256916996047	253	8522	349149	GJC3
2.30.30.360	-	0.453069015075266	-0.791710813943834	20	1	0.00395256916996047	253	8522	4648	MYO7B
3.30.565.10	-	0.469344425477189	-0.756418397382296	21	1	0.00395256916996047	253	8522	5166	PDK4
4.10.70.10	-	0.469344425477189	-0.756418397382296	21	1	0.00395256916996047	253	8522	80332	ADAM33
1.50.40.10	-	0.469832892433684	-0.755378195513651	53	2	0.00790513833992095	253	8522	7351,788	UCP2,SLC25A20
3.30.50.10	-	0.498842520908402	-0.695464822401341	56	2	0.00790513833992095	253	8522	6097,2625	RORC,GATA3
3.30.530.20	-	0.500462109190175	-0.692223389006435	23	1	0.00395256916996047	253	8522	147323	STARD6
